providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
Harvard Pilgrim Health Care of Connecticut, Inc.	05-12-2016	Unfair Claims Practice	Claim Settled	Justified	9071	25-04-2013
Quincy Mutual Fire Insurance Company	06-03-2016	Unfair Claims Practice	Claim Settled	Justified	9059	05-08-2013
Quincy Mutual Fire Insurance Company	07-13-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	30-03-2013
Quincy Mutual Fire Insurance Company	08-16-2016	Premium and Rating	Company Position Upheld	Unjustified	11074	15-02-2015
Quincy Mutual Fire Insurance Company	08-26-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	03-11-2013
Quincy Mutual Fire Insurance Company	08-29-2016	Unfair Claims Practice	Claim Settled	Justified	9064	06-10-2016
Quincy Mutual Fire Insurance Company	09-16-2016	Unfair Claims Practice	Additional Money Received	Justified	9076	13-10-2017
Quincy Mutual Fire Insurance Company	09-30-2016	Unfair Claims Practice	Corrective Action	Justified	9067	21-11-2013
Quincy Mutual Fire Insurance Company	10-05-2016	Marketing-Sales	Company Position Upheld	Unjustified	11068	04-10-2016
Quincy Mutual Fire Insurance Company	10-13-2016	Unfair Claims Practice	Claim Settled	Justified	9064	24-12-2016
Quincy Mutual Fire Insurance Company	10-13-2016	Unfair Claims Practice	Claim Settled	Justified	9064	24-02-2013
Quincy Mutual Fire Insurance Company	10-13-2016	Unfair Claims Practice	Claim Settled	Unjustified	11064	19-06-2013
Quincy Mutual Fire Insurance Company	10-21-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	30-03-2017
Quincy Mutual Fire Insurance Company	10-21-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	29-07-2016
Quincy Mutual Fire Insurance Company	10-26-2016	Underwriting	Cancellation Upheld	Unjustified	11070	27-02-2016
Quincy Mutual Fire Insurance Company	11-01-2016	Unfair Claims Practice	Corrective Action	Justified	9063	19-07-2013
Quincy Mutual Fire Insurance Company	04-11-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	07-05-2014
Quincy Mutual Fire Insurance Company	11-10-2016	Premium and Rating	Company Position Upheld	Unjustified	11069	19-02-2013
Quincy Mutual Fire Insurance Company	11-14-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	10-11-2014
Quincy Mutual Fire Insurance Company	11-15-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	17-01-2018
Quincy Mutual Fire Insurance Company	11-15-2016	Unfair Claims Practice	Enter Arbitration	Unjustified	11068	25-06-2016
State Farm Fire & Casualty Company	11-15-2016	Unfair Claims Practice	Enter Arbitration	Unjustified	11066	23-12-2015
Regent Insurance Company	11-15-2016	Unfair Claims Practice	Enter Arbitration	Unjustified	11056	28-08-2015
Regent Insurance Company	12-09-2016	Premium and Rating	Company Position Upheld	Unjustified	11057	08-08-2013
Regent Insurance Company	12-09-2016	Underwriting	Cancellation Upheld	Unjustified	11052	07-08-2014
Reliance Standard Life Insurance Company	12-14-2016	Unfair Claims Practice	Record Only	No Action Necessary	19066	24-05-2014
Reliance Standard Life Insurance Company	12-14-2016	Unfair Claims Practice	Corrective Action	Justified	9072	02-07-2014
Reliance Standard Life Insurance Company	12-15-2016	Marketing-Sales	Company Position Upheld	Unjustified	11078	08-04-2013
ReliaStar Life Insurance Company	12-15-2016	Unfair Claims Practice	Contract Provision	Unjustified	11065	23-09-2016
ReliaStar Life Insurance Company	12-22-2016	Unfair Claims Practice	Claim Settled	Unjustified	11060	21-10-2016
ReliaStar Life Insurance Company	12-22-2016	Unfair Claims Practice	Claim Settled	Unjustified	11060	22-04-2013
ReliaStar Life Insurance Company	12-27-2016	Unfair Claims Practice	Enter Arbitration	Unjustified	11064	25-12-2017
ReliaStar Life Insurance Company	12-29-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	26-10-2015
ReliaStar Life Insurance Company	01-17-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	27-02-2018
ReliaStar Life Insurance Company	01-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	21-02-2017
ReliaStar Life Insurance Company	01-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	29-05-2014
ReliaStar Life Insurance Company	01-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	08-02-2013
Prudential Insurance Company of America	01-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	27-02-2017
ReliaStar Life Insurance Company	02-13-2017	Unfair Claims Practice	Corrective Action	Justified	9064	09-02-2014
ReliaStar Life Insurance Company	02-24-2017	Unfair Claims Practice	Claim Settled	Justified	9060	20-06-2015
ReliaStar Life Insurance Company	03-06-2017	Underwriting	Cancellation Upheld	Unjustified	11061	25-12-2014
ReliaStar Life Insurance Company	03-20-2017	Underwriting	Company Position Upheld	Unjustified	11069	15-04-2014
ReliaStar Life Insurance Company	04-03-2017	Unfair Claims Practice	Claim Settled	Unjustified	11055	12-02-2017
ReliaStar Life Insurance Company	06-15-2018	Unfair Claims Practice	Refer To Appraisal	Unjustified	11065	24-08-2014
ReliaStar Life Insurance Company	04-21-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	24-11-2014
ReliaStar Life Insurance Company	04-21-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	13-07-2015
ReliaStar Life Insurance Company	05-11-2017	Unfair Claims Practice	Claim Settled	Unjustified	11055	29-05-2015
ReliaStar Life Insurance Company	06-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	12-03-2015
ReliaStar Life Insurance Company	06-15-2017	Unfair Claims Practice	Claim Settled	Unjustified	11060	25-02-2017
ReliaStar Life Insurance Company	06-07-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	26-01-2013
ReliaStar Life Insurance Company	07-20-2017	Premium and Rating	Corrective Action	Justified	9064	06-05-2017
USAA General Indemnity Company	08-10-2017	Unfair Claims Practice	Corrective Action	Justified	9057	13-07-2015
ReliaStar Life Insurance Company of New York	08-30-2016	Unfair Claims Practice	Insufficient Information	No Action Necessary	19083	05-07-2017
ReliaStar Life Insurance Company of New York	06-09-2017	Unfair Claims Practice	Claim Settled	Unjustified	11067	16-10-2015
ReliaStar Life Insurance Company of New York	12-05-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	19-03-2016
ReliaStar Life Insurance Company of New York	03-01-2017	Marketing-Sales	Furnished Information	Furnished Information	21075	19-08-2013
ReliaStar Life Insurance Company of New York	11-25-2015	Premium and Rating	Company Position Upheld	Unjustified	11082	21-07-2017
ReliaStar Life Insurance Company of New York	11-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	09-08-2013
ReliaStar Life Insurance Company of New York	11-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	05-09-2016
ReliaStar Life Insurance Company of New York	03-17-2017	FOI Inquiry	Furnished Information	Furnished Information	21080	19-05-2014
Republic-Franklin Insurance Company	04-22-2016	Premium and Rating	Fees Returned	Voluntary Reconsider	20063	15-06-2016
Republic-Franklin Insurance Company	05-01-2015	Marketing-Sales	Corrective Action	Questionable	12062	28-08-2016
Republic-Franklin Insurance Company	03-24-2016	Marketing-Sales	Premium Refund	Furnished Information	21064	31-03-2014
Republic-Franklin Insurance Company	08-09-2016	Marketing-Sales	Contract Provision	Furnished Information	21063	11-04-2017
Republic-Franklin Insurance Company	10-20-2016	Premium and Rating	Policy Not In Force	Voluntary Reconsider	20069	28-09-2017
RepWest Insurance Company	01-29-2016	Premium and Rating	Contract Provision	Unjustified	11058	09-11-2014
RepWest Insurance Company	09-06-2016	Premium and Rating	Contract Provision	Unjustified	11053	11-11-2013
RepWest Insurance Company	10-07-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11058	11-05-2017
Riverport Insurance Company	11-10-2016	Premium and Rating	Corrective Action	Unjustified	11053	03-06-2015
RiverSource Life Insurance Company	04-24-2015	Unfair Claims Practice	Inter-Company Arbitration	Unjustified	11074	08-10-2017
RiverSource Life Insurance Company	03-30-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	05-12-2014
RiverSource Life Insurance Company	07-17-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11066	14-04-2013
RiverSource Life Insurance Company	09-22-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	30-05-2015
United Services Automobile Association	09-25-2015	Unfair Claims Practice	Corrective Action	Justified	9070	06-02-2017
RiverSource Life Insurance Company	10-21-2015	Underwriting	Non-Renewal Upheld	Unjustified	11067	15-04-2013
RiverSource Life Insurance Company	06-28-2018	Unfair Claims Practice	Insufficient Information	No Action Necessary	19073	06-10-2017
RiverSource Life Insurance Company	04-24-2017	Premium and Rating	Corrective Action	Justified	9066	04-01-2017
RiverSource Life Insurance Company	05-01-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	15-08-2014
RLI Insurance Company	10-05-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11054	23-09-2016
RLI Insurance Company	11-01-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11054	07-09-2017
RLI Insurance Company	01-03-2017	Premium and Rating	Company Position Upheld	Unjustified	11054	03-08-2016
Primerica Life Insurance Company	12-05-2014	Unfair Claims Practice	Contract Provision	Unjustified	11060	01-01-2015
Pruco Life Insurance Company	09-17-2015	Unfair Claims Practice	Contract Provision	Unjustified	11060	13-01-2013
SAFECO Insurance Company of America	12-03-2015	Unfair Claims Practice	Contract Provision	Unjustified	11063	12-02-2018
SAFECO Insurance Company of America	05-12-2016	Unfair Claims Practice	Contract Provision	Unjustified	11063	11-05-2016
SAFECO Insurance Company of America	06-13-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	05-10-2017
SAFECO Insurance Company of America	01-15-2015	Unfair Claims Practice	Corrective Action	Justified	9067	23-06-2017
SAFECO Insurance Company of America	02-09-2015	Premium and Rating	Company Position Upheld	Unjustified	11068	30-10-2013
SAFECO Insurance Company of America	02-26-2015	Underwriting	Non-Renewal Rescinded	Unjustified	11071	15-04-2017
SAFECO Insurance Company of America	02-27-2015	Underwriting	Premium Refund	Unjustified	11064	17-12-2015
SAFECO Insurance Company of America	03-06-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	12-07-2015
SAFECO Insurance Company of America	03-09-2015	Unfair Claims Practice	Contract Provision	Unjustified	11063	13-12-2016
SAFECO Insurance Company of America	03-11-2015	Premium and Rating	Premium Refund	Unjustified	11058	18-06-2015
SAFECO Insurance Company of America	03-23-2015	Premium and Rating	Company Position Upheld	Unjustified	11073	09-01-2013
SAFECO Insurance Company of America	03-24-2015	Unfair Claims Practice	Claim Settled	Unjustified	11063	20-01-2014
SAFECO Insurance Company of America	05-07-2015	Premium and Rating	Company Position Upheld	Unjustified	11068	07-02-2015
SAFECO Insurance Company of America	05-20-2015	Premium and Rating	Company Position Upheld	Unjustified	11073	27-10-2017
SAFECO Insurance Company of America	06-29-2015	Unfair Claims Practice	Refer To Appraisal	Questionable	12068	20-05-2017
SAFECO Insurance Company of America	10-15-2015	Underwriting	Company Position Upheld	Unjustified	11073	10-08-2015
SAFECO Insurance Company of America	12-15-2015	Premium and Rating	Company Position Upheld	Unjustified	11073	06-01-2014
SAFECO Insurance Company of America	03-14-2016	Unfair Claims Practice	Corrective Action	Justified	9067	07-12-2017
SAFECO Insurance Company of America	04-29-2016	Underwriting	Cancellation Upheld	Unjustified	11069	07-05-2016
SAFECO Insurance Company of America	07-20-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	16-01-2013
SAFECO Insurance Company of America	07-27-2016	Premium and Rating	Premium Refund	Justified	9064	11-09-2013
SAFECO Insurance Company of America	08-01-2016	Unfair Claims Practice	Claim Settled	Unjustified	11058	26-07-2016
SAFECO Insurance Company of America	08-12-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	07-04-2013
New York Life Insurance and Annuity Corporation	08-30-2016	Unfair Claims Practice	Contract Provision	Unjustified	11079	28-02-2016
New York Life Insurance and Annuity Corporation	11-14-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11085	14-12-2015
Harvard Pilgrim Health Care of Connecticut, Inc.	11-16-2016	Unfair Claims Practice	Claim Settled	Unjustified	11076	26-08-2016
State Farm Fire & Casualty Company	01-12-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11061	26-09-2014
SAFECO Insurance Company of Illinois	01-19-2017	Underwriting	Non-Renewal Rescinded	Unjustified	11072	27-08-2017
Indemnity Insurance Company of North America	07-13-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11082	30-04-2014
SAFECO Insurance Company of Illinois	07-21-2017	Unfair Claims Practice	Contract Provision	Unjustified	11069	25-04-2015
SAFECO Insurance Company of Illinois	07-28-2016	Unfair Claims Practice	Contract Provision	Unjustified	11069	26-07-2015
SAFECO Insurance Company of Illinois	09-14-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	17-08-2017
SAFECO Insurance Company of Illinois	10-13-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	13-10-2016
SAFECO Insurance Company of Illinois	07-16-2015	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20064	07-08-2014
SAFECO Insurance Company of Illinois	02-17-2016	Unfair Claims Practice	Claim Settled	Questionable	12064	08-01-2016
SAFECO Insurance Company of Illinois	09-10-2015	Unfair Claims Practice	Corrective Action	Justified	9063	03-05-2016
SAFECO Insurance Company of Illinois	06-12-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	23-10-2017
SAFECO Insurance Company of Illinois	04-14-2016	Unfair Claims Practice	Claim Settled	Unjustified	11064	10-08-2013
SAFECO Insurance Company of Illinois	06-06-2017	Other	Company Position Upheld	Unjustified	11069	18-04-2017
SAFECO Insurance Company of Illinois	04-26-2016	Unfair Claims Practice	No Cause For Action	No Action Necessary	19070	13-12-2015
SAFECO Insurance Company of Illinois	06-18-2018	Unfair Claims Practice	Refer To Appraisal	Unjustified	11069	12-03-2016
SAFECO Insurance Company of Illinois	05-31-2018	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19070	06-12-2015
SAFECO Insurance Company of Illinois	12-22-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	01-10-2017
SAFECO Insurance Company of Illinois	01-06-2015	Premium and Rating	Company Position Upheld	Unjustified	11069	20-10-2017
SAFECO Insurance Company of Illinois	01-29-2015	Unfair Claims Practice	Contract Provision	Unjustified	11069	14-05-2016
SAFECO Insurance Company of Illinois	03-09-2015	Underwriting	Company Position Upheld	Unjustified	11069	23-02-2016
SAFECO Insurance Company of Illinois	04-20-2015	Premium and Rating	Company Position Upheld	Unjustified	11074	21-07-2013
SAFECO Insurance Company of Illinois	04-29-2015	Unfair Claims Practice	Refer To Appraisal	Unjustified	11068	05-04-2013
SAFECO Insurance Company of Illinois	05-11-2015	Premium and Rating	Company Position Upheld	Unjustified	11069	14-08-2017
SAFECO Insurance Company of Illinois	06-04-2015	Underwriting	Cancellation Upheld	Unjustified	11065	18-01-2017
SAFECO Insurance Company of Illinois	06-23-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	06-05-2017
SAFECO Insurance Company of Illinois	06-29-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	29-11-2016
SAFECO Insurance Company of Illinois	07-01-2015	Underwriting	Non-Renewal Rescinded	Unjustified	11067	18-11-2016
SAFECO Insurance Company of Illinois	07-10-2015	Marketing-Sales	Company Position Upheld	Unjustified	11069	02-04-2017
Anthem Health Plans, Inc	08-13-2015	Underwriting	Non-Renewal Upheld	Unjustified	11057	10-01-2014
SAFECO Insurance Company of Illinois	11-09-2015	Unfair Claims Practice	Contract Provision	Unjustified	11064	19-10-2014
SAFECO Insurance Company of Illinois	11-13-2015	Unfair Claims Practice	Inter-Company Arbitration	Unjustified	11076	23-05-2017
SAFECO Insurance Company of Illinois	11-19-2015	Unfair Claims Practice	Corrective Action	Justified	9068	14-02-2018
SAFECO Insurance Company of Illinois	11-25-2015	Underwriting	Company Position Upheld	Unjustified	11074	17-03-2015
SAFECO Insurance Company of Illinois	11-30-2015	Underwriting	Coverage Extended	Unjustified	11068	12-04-2016
SAFECO Insurance Company of Illinois	11-30-2015	Premium and Rating	Corrective Action	Justified	9068	15-04-2017
SAFECO Insurance Company of Illinois	11-30-2015	Underwriting	Corrective Action	Justified	9068	29-08-2015
SAFECO Insurance Company of Illinois	12-08-2015	Premium and Rating	Corrective Action	Justified	9063	14-07-2015
SAFECO Insurance Company of Illinois	12-08-2015	Underwriting	Cancellation Withdrawn	Justified	9068	31-07-2013
SAFECO Insurance Company of Illinois	12-15-2015	Unfair Claims Practice	Contract Provision	Unjustified	11069	02-07-2014
SAFECO Insurance Company of Illinois	01-05-2016	Premium and Rating	Corrective Action	Justified	9063	30-09-2016
Delaware Life Insurance Company	01-20-2016	Premium and Rating	Contract Provision	Unjustified	11064	23-08-2014
SAFECO Insurance Company of Illinois	01-28-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	15-01-2014
SAFECO Insurance Company of Illinois	05-24-2018	Unfair Claims Practice	Claim Settled	Furnished Information	21064	21-03-2017
SAFECO Insurance Company of Illinois	02-17-2016	Unfair Claims Practice	Additional Money Received	Unjustified	11076	24-03-2013
SAFECO Insurance Company of Illinois	02-18-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	03-10-2016
SAFECO Insurance Company of Illinois	02-29-2016	Premium and Rating	Company Position Upheld	Unjustified	11074	03-08-2014
SAFECO Insurance Company of Illinois	03-10-2016	Unfair Claims Practice	Claim Settled	Questionable	12059	20-11-2014
SAFECO Insurance Company of Illinois	03-11-2016	Unfair Claims Practice	Contract Provision	Unjustified	11064	22-09-2014
SAFECO Insurance Company of Illinois	04-15-2016	Premium and Rating	Company Position Upheld	Unjustified	11074	28-04-2014
SAFECO Insurance Company of Illinois	05-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	27-02-2015
SAFECO Insurance Company of Illinois	06-04-2018	Unfair Claims Practice	Refer-Judicial-Attorney	Unjustified	11069	13-12-2016
SAFECO Insurance Company of Illinois	05-10-2016	Unfair Claims Practice	Contract Provision	Unjustified	11064	17-02-2018
SAFECO Insurance Company of Illinois	05-11-2016	Unfair Claims Practice	Claim Settled	Unjustified	11059	23-06-2014
SAFECO Insurance Company of Illinois	06-17-2016	Premium and Rating	Company Position Upheld	Unjustified	11074	24-10-2017
SAFECO Insurance Company of Illinois	07-08-2016	Underwriting	Company Position Upheld	Unjustified	11069	01-02-2015
SAFECO Insurance Company of Illinois	07-11-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	07-07-2017
SAFECO Insurance Company of Illinois	07-18-2016	Unfair Claims Practice	Corrective Action	Justified	9068	14-04-2017
SAFECO Insurance Company of Illinois	07-19-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	28-02-2016
SAFECO Insurance Company of Illinois	06-08-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	17-08-2017
CSAA Fire & Casualty Insurance Company	08-17-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11076	10-08-2016
SAFECO Insurance Company of Illinois	08-22-2016	Underwriting	Premium Refund	Unjustified	11065	03-06-2015
SAFECO Insurance Company of Illinois	10-19-2016	Premium and Rating	Corrective Action	Questionable	12068	01-08-2014
SAFECO Insurance Company of Illinois	10-26-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	08-07-2017
SAFECO Insurance Company of Illinois	11-07-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	16-02-2013
SAFECO Insurance Company of Illinois	11-07-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	17-11-2014
SAFECO Insurance Company of Illinois	11-07-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	05-09-2014
SAFECO Insurance Company of Illinois	11-07-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	12-10-2017
SAFECO Insurance Company of Illinois	11-07-2016	Premium and Rating	Corrective Action	Unjustified	11063	26-10-2017
SAFECO Insurance Company of Illinois	11-14-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	21-02-2014
SAFECO Insurance Company of Illinois	12-15-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	03-04-2016
SAFECO Insurance Company of Illinois	12-21-2016	Premium and Rating	Premium Refund	Unjustified	11065	17-12-2016
SAFECO Insurance Company of Illinois	06-13-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	12-03-2013
SAFECO Insurance Company of Illinois	01-10-2017	Premium and Rating	Company Position Upheld	Unjustified	11069	20-08-2017
SAFECO Insurance Company of Illinois	06-14-2018	Unfair Claims Practice	Corrective Action	Unjustified	11068	18-03-2015
SAFECO Insurance Company of Illinois	01-25-2017	Premium and Rating	Company Position Upheld	Unjustified	11074	01-02-2016
SAFECO Insurance Company of Illinois	01-30-2017	Underwriting	Non-Renewal Upheld	Unjustified	11069	26-09-2014
SAFECO Insurance Company of Illinois	02-15-2017	Unfair Claims Practice	Claim Settled	Unjustified	11064	07-07-2014
SAFECO Insurance Company of Illinois	02-27-2017	Unfair Claims Practice	Enter Arbitration	Unjustified	11068	01-01-2016
SAFECO Insurance Company of Illinois	03-23-2017	Premium and Rating	Company Position Upheld	Unjustified	11074	01-02-2013
SAFECO Insurance Company of Illinois	03-27-2017	Unfair Claims Practice	Claim Settled	Unjustified	11064	22-11-2013
SAFECO Insurance Company of Illinois	03-30-2017	Unfair Claims Practice	Claim Settled	Unjustified	11064	10-07-2017
SAFECO Insurance Company of Illinois	05-04-2017	Premium and Rating	Corrective Action	Justified	9063	29-01-2015
SAFECO Insurance Company of Illinois	05-09-2017	Unfair Claims Practice	Contract Provision	Unjustified	11064	10-02-2013
SAFECO Insurance Company of Illinois	05-19-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	25-12-2016
SAFECO Insurance Company of Illinois	05-24-2017	Premium and Rating	Company Position Upheld	Unjustified	11074	30-06-2013
SAFECO Insurance Company of Illinois	05-24-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	22-03-2017
Standard Fire Insurance Company (The)	06-06-2017	Premium and Rating	Corrective Action	Justified	9064	04-06-2016
SAFECO Insurance Company of Illinois	06-06-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	11-10-2017
SAFECO Insurance Company of Illinois	06-14-2017	Premium and Rating	Company Position Upheld	Unjustified	11074	28-12-2017
SAFECO Insurance Company of Illinois	06-14-2017	Underwriting	Company Position Upheld	Unjustified	11074	19-04-2014
SAFECO Insurance Company of Illinois	06-30-2017	Unfair Claims Practice	Corrective Action	Justified	9068	15-10-2017
SAFECO Insurance Company of Illinois	07-05-2017	Unfair Claims Practice	Claim Settled	Unjustified	11059	15-04-2017
Progressive Direct Insurance Company	07-06-2017	Premium and Rating	Company Position Upheld	Unjustified	11069	26-11-2013
SAFECO Insurance Company of Illinois	07-13-2017	Unfair Claims Practice	Claim Settled	Unjustified	11064	27-07-2013
SAFECO Insurance Company of Illinois	07-14-2017	Premium and Rating	Company Position Upheld	Unjustified	11074	19-12-2017
SAFECO Insurance Company of Indiana	07-21-2017	Underwriting	Non-Renewal Rescinded	Justified	9071	14-02-2015
Scottsdale Insurance Company	05-17-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	10-08-2015
Scottsdale Insurance Company	03-17-2015	Unfair Claims Practice	Corrective Action	Furnished Information	21060	07-01-2016
Scottsdale Insurance Company	05-20-2015	Unfair Claims Practice	Contract Provision	Justified	9060	12-03-2015
Scottsdale Insurance Company	06-11-2018	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	12-12-2016
Security Life Insurance Company of America	01-25-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11080	05-07-2013
Security Life Insurance Company of America	06-21-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21075	24-05-2017
Security Life of Denver Insurance Company	06-23-2017	Marketing-Sales	Company Position Upheld	Unjustified	11078	15-04-2013
Security National Insurance Company	08-20-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	21-08-2014
Selective Insurance Company of America	01-18-2017	Underwriting	Company Position Upheld	Unjustified	11076	06-12-2016
Selective Insurance Company of America	05-10-2017	Underwriting	Non-Renewal Rescinded	Justified	9069	26-08-2014
Selective Insurance Company of America	03-18-2015	Premium and Rating	Company Position Upheld	Unjustified	11076	17-03-2015
Selective Insurance Company of South Carolina	10-08-2015	Premium and Rating	Company Position Upheld	Unjustified	11078	18-06-2015
Selective Insurance Company of South Carolina	04-27-2015	Underwriting	Non-Renewal Rescinded	Justified	9081	22-11-2016
Anthem Health Plans, Inc	02-22-2016	Underwriting	Non-Renewal Rescinded	Justified	9060	01-04-2015
Selective Insurance Company of South Carolina	04-20-2016	Unfair Claims Practice	Claim Settled	Unjustified	11073	10-11-2015
Selective Insurance Company of South Carolina	01-03-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	02-05-2013
Selective Insurance Company of the Southeast	01-03-2017	Unfair Claims Practice	Contract Provision	Unjustified	11072	19-01-2018
Selective Insurance Company of the Southeast	01-06-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	25-09-2014
Seneca Insurance Company, Inc.	04-01-2015	Unfair Claims Practice	Furnished Information	Unjustified	11061	17-03-2016
Seneca Insurance Company, Inc.	04-10-2015	Underwriting	Company Position Upheld	Unjustified	11063	11-08-2015
Seneca Insurance Company, Inc.	04-10-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11063	03-01-2013
LM Insurance Corporation	04-28-2015	Underwriting	Company Position Upheld	Unjustified	11061	27-01-2016
Sentinel Insurance Company, Ltd	04-28-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	02-08-2013
Sentinel Insurance Company, Ltd	04-27-2015	FOI Inquiry	No Cause For Action	No Action Necessary	19065	25-07-2013
Sentinel Insurance Company, Ltd	07-15-2015	Unfair Claims Practice	Contract Provision	Unjustified	11064	23-10-2016
Sentinel Insurance Company, Ltd	12-17-2015	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20059	06-12-2013
Sentinel Insurance Company, Ltd	02-09-2016	Unfair Claims Practice	Corrective Action	Justified	9058	16-02-2014
Sentinel Insurance Company, Ltd	03-10-2016	Unfair Claims Practice	Claim Settled	Justified	9054	30-03-2013
Sentinel Insurance Company, Ltd	03-10-2016	Unfair Claims Practice	Claim Settled	Justified	9053	23-12-2013
Sentinel Insurance Company, Ltd	04-12-2018	Unfair Claims Practice	Coverage Denied	Unjustified	11056	14-06-2013
Sentinel Insurance Company, Ltd	08-21-2015	Unfair Claims Practice	Contract Provision	Unjustified	11064	31-01-2015
Sentinel Insurance Company, Ltd	08-27-2015	Unfair Claims Practice	Corrective Action	Justified	9063	09-09-2013
Sentinel Insurance Company, Ltd	12-09-2015	Unfair Claims Practice	Corrective Action	Justified	9058	11-03-2016
Sentinel Insurance Company, Ltd	03-02-2018	Unfair Claims Practice	Enter Arbitration	Unjustified	11058	19-12-2013
Sentinel Insurance Company, Ltd	06-13-2018	Unfair Claims Practice	Contract Provision	Unjustified	11064	19-10-2016
Sentinel Insurance Company, Ltd	12-03-2014	Premium and Rating	Company Position Upheld	Unjustified	11064	26-04-2016
Sentinel Insurance Company, Ltd	12-11-2014	Underwriting	Non-Renewal Upheld	Unjustified	11059	08-05-2013
Sentinel Insurance Company, Ltd	12-11-2014	Underwriting	Non-Renewal Upheld	Unjustified	11059	10-08-2017
Sentinel Insurance Company, Ltd	12-16-2014	Marketing-Sales	Corrective Action	Unjustified	11063	05-03-2016
Sentinel Insurance Company, Ltd	01-28-2015	Unfair Claims Practice	Contract Provision	Unjustified	11063	20-08-2016
