PROPRIETARYNAME	DOSAGEFORMNAME	LABELERNAME	SUBSTANCENAME	PHARM_CLASSES	
Sheffield Pain Relief	SOLUTION	"ALK-Abello, Inc."	ABIES ALBA LEAFY TWIG; PETASITES HYBRIDUS ROOT; PLANTAGO MAJOR LEAF; FERROSOFERRIC PHOSPHATE; SUS SCROFA LUNG	"Standardized Animal Skin Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Fur [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	352
Dr. Sheffield Anti Itch Cream	SOLUTION	"ALK-Abello, Inc."	ABIES ALBA LEAFY TWIG; PETASITES HYBRIDUS ROOT; QUERCUS ROBUR WHOLE; PLANTAGO MAJOR	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	332
Dr Sheffield Athletes Foot	SOLUTION	"ALK-Abello, Inc."	ABIES ALBA LEAFY TWIG; PETASITES HYBRIDUS ROOT; VERONICA OFFICINALIS FLOWERING TOP; PLANTAGO MAJOR LEAF	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	349
Dr. Sheffield Vapor Cream	SOLUTION	"ALK-Abello, Inc."	CUPRIC SULFATE; SUS SCROFA PANCREAS; PHOSPHORUS; ROSMARINUS OFFICINALIS FLOWERING TOP; AMBER; SILICON DIOXIDE; SILVER	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	362
Sheffield Arthritis and Muscle Pain Relief	SOLUTION	"ALK-Abello, Inc."	ANTIMONY POTASSIUM TARTRATE; PHOSPHORUS	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	301
12 Hour Original Nasal Decongestant	SOLUTION	"ALK-Abello, Inc."	BOS TAURUS PLACENTA	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	274
Sheffield Triple Antibiotic Plus Pain Relief	SOLUTION	"ALK-Abello, Inc."	PLANTAGO MAJOR LEAF; PRIMULA VERIS FLOWER; HYOSCYAMUS NIGER LEAF	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	328
Sheffield Triple Antibiotic	SOLUTION	"ALK-Abello, Inc."	"ECHINACEA, UNSPECIFIED; ABIES ALBA LEAFY TWIG; PLANTAGO MAJOR LEAF; SAGE; FERROSOFERRIC PHOSPHATE; BRYONIA ALBA ROOT; EUPATORIUM PERFOLIATUM FLOWERING TOP; BEEF LUNG; THYROID, BOVINE; FERROUS DISULFIDE; BOS TAURUS NASAL MUCOSA"	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	473
Sheffield Bacitracin Zinc	SOLUTION	"ALK-Abello, Inc."	"ECHINACEA, UNSPECIFIED; PICEA ABIES LEAF; PLANTAGO MAJOR LEAF; SAGE; FERROSOFERRIC PHOSPHATE; BRYONIA ALBA ROOT; EUPATORIUM CANNABINUM FLOWERING TOP; BEEF LUNG; THYROID, BOVINE; FERROUS DISULFIDE; BOS TAURUS NASAL MUCOSA"	"Standardized Pollen Allergenic Extract [EPC],Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	514
Dr. Sheffield Barrier Cream	SOLUTION	"ALK-Abello, Inc."	LARIX DECIDUA RESIN; SAGE; DROSERA ROTUNDIFOLIA; PETASITES HYBRIDUS ROOT; PLANTAGO MAJOR LEAF	"Standardized Pollen Allergenic Extract [EPC],Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	389
Dr. Sheffield Sensitive Care	SOLUTION	"ALK-Abello, Inc."	PLANTAGO LANCEOLATA; DROSERA ROTUNDIFOLIA; ATROPA BELLADONNA; CINCHONA OFFICINALIS BARK; PROTORTONIA CACTI; IPECAC; HELLEBORUS; VERATRUM ALBUM ROOT	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	395
Dr. Sheffield Psoriasis Medicated Moisturizer	SOLUTION	"ALK-Abello, Inc."	CICHORIUM INTYBUS WHOLE; OXALIS ACETOSELLA LEAF; ROSMARINUS OFFICINALIS FLOWERING TOP; ACTIVATED CHARCOAL; SUS SCROFA PANCREAS; PLATINUM	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	401
COVARYX	SOLUTION	"ALK-Abello, Inc."	CICHORIUM INTYBUS WHOLE; OXALIS ACETOSELLA LEAF; ROSMARINUS OFFICINALIS FLOWERING TOP; ACTIVATED CHARCOAL; SUS SCROFA PANCREAS; PLATINIC CHLORIDE	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	372
Senna and Docusate Sodium	SOLUTION	"ALK-Abello, Inc."	LEAD; HONEY	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	256
Guiafenesin	SOLUTION	"ALK-Abello, Inc."	HONEY; LEAD	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	242
POLYETHYLENE GLYCOL 3350 NF	SOLUTION	"ALK-Abello, Inc."	LEAD MONOSILICATE	"Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	264
YOUTH DEW ROLL-ON ANTIPERSPIRANT DEODORANT	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SELENICEREUS GRANDIFLORUS STEM; CONVALLARIA MAJALIS; HAWTHORN LEAF WITH FLOWER; MELISSA OFFICINALIS; ONOPORDUM ACANTHIUM FLOWER; PRIMULA VERIS FLOWER; DRIMIA MARITIMA BULB; HYOSCYAMUS NIGER LEAF; BEEF HEART; OSTREA EDULIS SHELL	"Non-Standardized House Dust Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Allergens [Chemical/Ingredient],House Dust [Chemical/Ingredient]"	512
MAXIMUM COVER CAMOUFLAGE MAKEUP	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SLOE	"Non-Standardized House Dust Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Allergens [Chemical/Ingredient],House Dust [Chemical/Ingredient]"	278
FUTURIST AGE RESISTING MAKEUP	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SLOE; FERRIC OXIDE RED	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Nut Proteins [Chemical/Ingredient]"	299
CYBERWHITE EX	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	PRUNUS SPINOSA FLOWER BUD	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Nut Proteins [Chemical/Ingredient]"	286
CYBER WHITE	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	PRUNUS SPINOSA WHOLE	"Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient],Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE]"	253
DAYWEAR	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SUS SCROFA LUNG	"Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient],Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE]"	244
RESILIENCE LIFT	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BRYONIA ALBA ROOT; GELSEMIUM SEMPERVIRENS ROOT; ANTIMONY POTASSIUM TARTRATE; FERROSOFERRIC PHOSPHATE; SUS SCROFA LUNG	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	354
DOUBLE WEAR	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ECHINACEA ANGUSTIFOLIA; ASTRAGALUS PROPINQUUS ROOT; ATROPA BELLADONNA; TARAXACUM PALUSTRE ROOT; FERROSOFERRIC PHOSPHATE; LACHESIS MUTA VENOM; SUS SCROFA LUNG; SILVER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	398
DAYWEAR BB	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SUS SCROFA LUNG; IRON	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	285
RE NUTRIV RADIANT UV BASE	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	IRON; SUS SCROFA LUNG	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	300
RESILIENCE LIFT FIRMING SCULPTING FACE AND NECK BROAD SPECTRUM SPF 15	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	IRON; ANTIMONY POTASSIUM TARTRATE; SUS SCROFA LUNG	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	369
ADVANCED TIME ZONE AGE REVERSING	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SUS SCROFA LUNG; ANTIMONY POTASSIUM TARTRATE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	326
RESILIENCE LIFT FIRMING/SCULPTING FACE AND NECK BROAD SPECTRUM SPF 15 NML/COMBO	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SUS SCROFA LUNG; IRON; ANTIMONY POTASSIUM TARTRATE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	379
DAY WEAR ADVANCED MULTI-PROTECTION ANTI-OXIDANT AND UV DEFENSE	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SUS SCROFA TOOTH	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	328
RESILIENCE LIFT FIRMING- SCULPTING FACE AND NECK BROAD SPECTRUM SPF 15 FOR DRY SKIN	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	MAMMAL LIVER; PULSATILLA VULGARIS; ACHILLEA MILLEFOLIUM	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Grain Proteins [Chemical/Ingredient]"	388
CYBERWHITE HD UV PROTECTOR BROAD SPECTRUM SPF 50	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	FERROUS DISULFIDE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Grain Proteins [Chemical/Ingredient]"	315
DOUBLE WEAR ALL DAY GLOW BB MOISTURE MAKEUP BROAD SPECTRUM SPF 30	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SAGE; ANGELICA ARCHANGELICA ROOT; HYOSCYAMUS NIGER LEAF; FERROUS DISULFIDE; SILVER; HYACINTHUS ORIENTALIS WHOLE	"Non-Standardized Plant Allergenic Extract [EPC],Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Plant Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	515
CLEAR DIFFERENCE BB COMPLEXION PERFECTING BB BROAD SPECTRUM SPF 35	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	HORSE CHESTNUT; HAMAMELIS VIRGINIANA LEAF; TOBACCO LEAF; SILICON DIOXIDE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	392
CYBERWHITE HD BB ADVANCED BRIGHTENING BROAD SPECTRUM SPF 50	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SILVER; TOBACCO LEAF; OXALIS ACETOSELLA LEAF; SILICON DIOXIDE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Plant Proteins [Chemical/Ingredient]"	370
CLEAR DIFFERENCE ADVANCED BLEMISH SERUM	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	AESCULUS HIPPOCASTANUM BARK; BORAGE; MILK THISTLE; HAMAMELIS VIRGINIANA LEAF; QUERCUS ROBUR WHOLE; MERCURIALIS PERENNIS; ANTIMONY	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Plant Proteins [Chemical/Ingredient]"	418
Perfectionist Youth-Infusing Makeup Broad Spectrum SPF 25	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	QUERCUS ROBUR WHOLE; MERCURIALIS PERENNIS; HORSE CHESTNUT; BORAGE; MILK THISTLE; HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK; ANTIMONY	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Meat Proteins [Chemical/Ingredient]"	437
ENLIGHTEN EE EVEN EFFECT SKIN TONE CORRECTOR SPF BROAD SPECTRUM SPF 30	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SUS SCROFA RECTUM	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Meat Proteins [Chemical/Ingredient]"	336
CLEAR DIFFERENCE TARGETED BLEMISH TREATMENT	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	PORK KIDNEY; SILVER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Nut Proteins [Chemical/Ingredient]"	310
CRESCENT WHITE UV PROTECTOR BROAD SPECTRUM SPF 50	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ELYMUS REPENS TOP; ONONIS REPENS ROOT; PARSLEY; CAPSELLA BURSA-PASTORIS; ARCTOSTAPHYLOS UVA-URSI LEAF; SOLIDAGO VIRGAUREA FLOWERING TOP; BETULA PUBESCENS LEAF; EQUISETUM ARVENSE TOP; PORK KIDNEY; CYTISUS SCOPARIUS FLOWERING TOP; COPPER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Nut Proteins [Chemical/Ingredient]"	532
DOUBLE WEAR CUSHION BB ALL DAY WEAR COMPACT BROAD SPECTRUM SPF 50	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	PORK KIDNEY; ACTIVATED CHARCOAL	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	350
DOUBLE WEAR NUDE WATER FRESH MAKEUP BROAD SPECTRUM SPF 30	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BOS TAURUS ADRENAL GLAND; PORK KIDNEY; COPPER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	356
DAYWEAR MULTI-PROTECTION ANTII-OXIDANT 24H-MOISTURE CREME BROAD SPECTRUM SPF 15 NORMAL/COMBINATION SKIN	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	PORK KIDNEY; COPPER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Grain Proteins [Chemical/Ingredient]"	372
RESILIENCE LIFT EXTREME CREME COMPACT MAKEUP	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BORAGE; CUPRIC ACETATE; BOS TAURUS CONJUNCTIVA; BOS TAURUS LYMPH VESSEL; SUS SCROFA UMBILICAL CORD; BOS TAURUS CARTILAGE; PORK KIDNEY; VISCUM ALBUM FRUITING TOP	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Grain Proteins [Chemical/Ingredient]"	454
DOUBLE WEAR LIGHT	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	VERATRUM ALBUM ROOT; PORK KIDNEY; EQUISETUM ARVENSE TOP; VISCUM ALBUM FRUITING TOP; APIS MELLIFERA	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	369
RE-NUTRIV	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BEEF LIVER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	273
LIP CONDITIONER SPF 15	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	GELSEMIUM SEMPERVIRENS ROOT; PSEUDOGNAPHALIUM LUTEOALBUM LEAF; ACONITUM NAPELLUS; ATROPA BELLADONNA; MANDRAGORA OFFICINARUM ROOT; TOXICODENDRON PUBESCENS LEAF; PENOXSULAM	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	442
NUTRITIOUS	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	GELSEMIUM SEMPERVIRENS ROOT; ACONITUM NAPELLUS; PSEUDOGNAPHALIUM LUTEOALBUM LEAF; MANDRAGORA OFFICINARUM ROOT; TOXICODENDRON PUBESCENS LEAF; ATROPA BELLADONNA; PENOXSULAM	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	430
TIME ZONE	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ROBINIA PSEUDOACACIA BARK; SILVER; BOS TAURUS ADRENAL GLAND; TOBACCO LEAF; STRYCHNOS NUX-VOMICA SEED; COPPER; SODIUM PHOSPHATE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	389
DOUBLE MATTE	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ROBINIA PSEUDOACACIA BARK; SILVER; SUS SCROFA ADRENAL GLAND; TOBACCO LEAF; STRYCHNOS NUX-VOMICA SEED; COPPER; SODIUM PHOSPHATE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	392
EQUALIZER	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	FERRIC OXIDE RED; SEDUM ROSEUM WHOLE; GRAPHITE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Caseins [Chemical/Ingredient]"	298
RENUTRIV	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	TARAXACUM OFFICINALE ROOT; ROSMARINUS OFFICINALIS FLOWERING TOP; AMBER; SILVER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Caseins [Chemical/Ingredient]"	329
DAYWEAR PLUS MULTI PROTECTION TINTED MOISTURIZER	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ROSMARINUS OFFICINALIS FLOWERING TOP	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	338
Resilience Lift Extreme	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BEEF; OSTREA EDULIS SHELL; SUS SCROFA SKIN; SUS SCROFA UMBILICAL CORD; BOS TAURUS PLACENTA; BOS TAURUS SOMATIC NERVE; TIN	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Vegetable Proteins [Chemical/Ingredient]"	398
Tencon	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	SANGUISORBA OFFICINALIS ROOT; TARAXACUM PALUSTRE ROOT; ROSMARINUS OFFICINALIS FLOWERING TOP; AMBER; ROSEMARY OIL; SILVER	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	376
DESPEC	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BERBERIS VULGARIS ROOT BARK; POPULUS TREMULA WHOLE; SAW PALMETTO; SOLIDAGO VIRGAUREA FLOWERING TOP; THUJA OCCIDENTALIS WHOLE; MAGNESITE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]"	391
Epsal	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BLACK COHOSH; SAMBUCUS NIGRA FLOWERING TOP; LARIX DECIDUA RESIN	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Poultry Proteins [Chemical/Ingredient]"	320
Stool Softener Plus Stimulant Laxative	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ONOPORDUM ACANTHIUM FLOWER; PRIMULA VERIS FLOWER; CYTISUS SCOPARIUS FLOWER; SELENICEREUS GRANDIFLORUS STEM; CAMPHOR (NATURAL); HYOSCYAMUS NIGER LEAF; GOLD; BERYLLIUM	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Poultry Proteins [Chemical/Ingredient]"	455
Foaming Hand Wash	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	ADONIS VERNALIS FLOWERING TOP; HAWTHORN LEAF WITH FLOWER; ONOPORDUM ACANTHIUM FLOWER; PRIMULA VERIS FLOWER; CONVALLARIA MAJALIS; HYOSCYAMUS NIGER LEAF; DRIMIA MARITIMA BULB	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Dietary Proteins [Chemical/Ingredient],Food Additives [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	439
up and up ready to use enema	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	CAMPHOR (NATURAL); VERATRUM ALBUM ROOT; SLOE; FERROUS ARSENATE; BOS TAURUS PITUITARY GLAND; GOLD	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Dietary Proteins [Chemical/Ingredient],Food Additives [Chemical/Ingredient],Allergens [Chemical/Ingredient]"	374
up and up digestive relief	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BOS TAURUS PARATHYROID GLAND; OXALIS ACETOSELLA LEAF; FERROUS ARSENATE; SUGARCANE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Shellfish Proteins [Chemical/Ingredient]"	361
up and up fast mucus relief severe cold	"INJECTION, SOLUTION"	"ALK-Abello, Inc."	BOS TAURUS PARATHYROID GLAND; FERROUS ARSENATE; OXALIS ACETOSELLA LEAF; SUGARCANE	"Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Shellfish Proteins [Chemical/Ingredient]"	374
